T,k,curvature,is_zero
60.089411,5,27.085972842399997,False
60.089411,6,2275557.8533066222,False
60.089411,7,2684.8501819080934,False
60.089411,8,673254.8013047733,False
62.972161,0,566.9190653770888,False
62.972161,1,18.805975140146842,False
62.972161,2,183999.6818783037,False
62.972161,3,322.32889926156525,False
62.972161,4,3.476232372529725,False
62.972161,5,73.26104709548531,False
62.972161,6,1646553.1631126227,False
62.972161,7,6978.130065649341,False
62.972161,8,2036006.3824770972,False
66.096177,0,498.41275296862165,False
66.096177,1,12.733820046260172,False
66.096177,2,175013.99088737895,False
66.096177,3,347.8483479422709,False
66.096177,4,147.28072039726925,False
66.096177,5,18.718099092929208,False
66.096177,6,1557087.0334958578,False
66.096177,7,985.9905161046703,False
66.096177,8,143986.34343997348,False
68.3131055,0,513.6650291880177,False
68.3131055,1,15.164362990919756,False
68.3131055,2,170586.16294802693,False
68.3131055,3,358.5539569988079,False
68.3131055,4,0.3441207430121551,False
68.3131055,5,48.94190182014313,False
68.3131055,6,2197659.9870433295,False
68.3131055,7,3636.7644660506207,False
68.3131055,8,862288.7185618478,False
70.806779,0,461.1015404531473,False
70.806779,1,11.244939492363878,False
70.806779,2,162539.02806037304,False
70.806779,3,252.26594400457358,False
70.806779,4,112.64131223320817,False
70.806779,5,20.5295663580074,False
70.806779,6,948907.27091,False
70.806779,7,1432.5015178902602,False
70.806779,8,18213.344089943595,False
73.88592349999999,0,494.37019726682064,False
73.88592349999999,1,16.93998349751675,False
73.88592349999999,2,156130.49183403037,False
73.88592349999999,3,289.03658372768757,False
73.88592349999999,4,0.027105290234530344,False
73.88592349999999,5,65.84265035414205,False
73.88592349999999,6,1972130.3913556729,False
73.88592349999999,7,6210.853856615163,False
73.88592349999999,8,1681000.4089219058,False
76.42476500000001,0,441.63520624442236,False
76.42476500000001,1,11.895486779243704,False
76.42476500000001,2,155284.0785882383,False
76.42476500000001,3,206.71134872218573,False
76.42476500000001,4,20.02276001666914,False
76.42476500000001,5,13.409652033224972,False
76.42476500000001,6,698300.218428112,False
76.42476500000001,7,1724.415149716648,False
76.42476500000001,8,301700.56070006266,False
78.2411075,0,415.57895712245596,False
78.2411075,1,10.184574637477649,False
78.2411075,2,145213.17118106756,False
78.2411075,3,232.59538606193573,False
78.2411075,4,781.8539495829668,False
78.2411075,5,22.72068678754735,False
78.2411075,6,574181.6647302237,False
78.2411075,7,317.6282241641841,False
78.2411075,8,6140.142425101487,False
81.12387799999999,0,401.110168952431,False
81.12387799999999,1,10.06947506473867,False
81.12387799999999,2,138144.75035574453,False
81.12387799999999,3,243.93476711211107,False
81.12387799999999,4,23.492992951013036,False
81.12387799999999,5,10.667615812920417,False
81.12387799999999,6,84516.21063685058,False
81.12387799999999,7,4490.754138619906,False
81.12387799999999,8,207805.34426925203,False
83.822937,0,385.1673185241546,False
83.822937,1,9.530520691288855,False
83.822937,2,146573.00180635424,False
83.822937,3,272.15341453435843,False
